epoch,train_loss,val_loss
1,0.013481073111153333,0.008886543614789844
2,0.008160404680047636,0.0074707290157675745
3,0.007341721086246762,0.007122732151765376
4,0.006849276331982985,0.006848064123187214
5,0.006568284607403408,0.006977050157729536
6,0.006352135555664445,0.0066253602388314905
7,0.006234013273790004,0.006567504920531065
8,0.0060832055617764495,0.006262505194172263
9,0.00604821418287458,0.006377357116434723
10,0.0059259329436074015,0.0058448744472116235
11,0.005851805542305017,0.0064956369576975705
12,0.005822860119733841,0.0063261750969104465
13,0.005703563564664619,0.005985902727115899
14,0.0057131242849359845,0.00591112095862627
15,0.005664717925083675,0.006009902991354466
16,0.005633318980645602,0.005735635082237423
17,0.005632679692950029,0.006228083511814475
18,0.00555127948392064,0.006115771748591214
19,0.005514201473824348,0.005977193126454949
20,0.005540123236051221,0.006556769309099764
21,0.005509569893952957,0.00631642322987318
22,0.0054262883569689314,0.005537370289675892
23,0.005440582031870533,0.005545474181417376
24,0.005434270764279897,0.005551863030996173
25,0.005374442619882572,0.0057592048426158724
26,0.005364399124530091,0.005535360740032047
27,0.005368109964498669,0.00675894517917186
28,0.005372750323716622,0.005737899290397763
29,0.005275389826174375,0.005532147316262126
30,0.005290327878419761,0.005399958055932075
