epoch,train_loss,val_loss
1,0.011190447594472177,0.008383791835512966
2,0.006973070074703283,0.006708456319756806
3,0.006327413977568697,0.006604118354152888
4,0.006075344552659684,0.006497541163116694
5,0.005878448302436406,0.006780121789779514
6,0.005748618925049616,0.005976229649968445
7,0.005688837587026653,0.0057825391995720565
8,0.005560254520932391,0.00671628259588033
9,0.005514393797867997,0.0061749084386974575
10,0.005482368687298267,0.00571202855790034
11,0.005411961127760684,0.006329361477401108
12,0.0053636089774074065,0.005446770740672946
13,0.0052944976379679645,0.006148844351992011
14,0.005283766684187636,0.005746011447627097
15,0.005224675171456899,0.005913566960953176
16,0.005168760824165526,0.005683983163908124
17,0.005088353949260845,0.005530905537307262
18,0.005091699116098083,0.005519455077592284
19,0.005084182076440875,0.005703545501455664
20,0.004997161558123341,0.005984013609122485
21,0.004994656929188663,0.00582825702149421
22,0.004890921071859872,0.006174796749837697
23,0.004818964957194343,0.00670255288714543
24,0.004789084350322462,0.0057429426233284175
25,0.004682243129855414,0.005632997758220881
26,0.004618451111967776,0.005601100041531026
27,0.004601605248394286,0.006596546445507556
28,0.004561122628462732,0.005566196900326758
29,0.004517273832065094,0.006038412638008595
30,0.004403508125928936,0.0067386239650659265
