epoch,train_loss,val_loss
1,0.012811870474344607,0.008593886450398713
2,0.0076029478352825355,0.007658846711274236
3,0.006808318197727203,0.006928201613482088
4,0.006411305590159005,0.007033799646887928
5,0.006191569335972238,0.006245444947853685
6,0.0060138175661444285,0.006210693379398435
7,0.005901756743858954,0.005767340445891023
8,0.005782920297733538,0.006352842960041016
9,0.005724965591742924,0.005708491639234125
10,0.00562462462468227,0.005602323915809393
11,0.0055967761310422495,0.005962971318513155
12,0.005506580025194937,0.005482339521404356
13,0.005520754914944339,0.006167513015680015
14,0.005451533664611115,0.005585031653754413
15,0.005417770246387857,0.005515747761819512
16,0.00541926830840908,0.00572658427990973
17,0.005323998719026708,0.0059368713409639895
18,0.005308737124132503,0.0062210991280153395
19,0.005268047006124524,0.00559311214601621
20,0.0052506648342178506,0.0053807731019333005
21,0.005208300758793855,0.006111674639396369
22,0.005231932508551581,0.0065452623064629735
23,0.005152407404818353,0.005764698819257319
24,0.005168461561155547,0.005376168631482869
25,0.005138457942587935,0.005389315984211862
26,0.005091729508653568,0.005334764753933996
27,0.005081799581267272,0.005625272518955171
28,0.005047615712425511,0.005729749356396497
29,0.005042438952928515,0.00571880581555888
30,0.004980883994110071,0.005882478167768568
